,geometry,address
553,POINT EMPTY,
554,POINT EMPTY,
555,POINT (-74.0814568 -13.1424738),"Urpay, Acos Vinchos, Huamanga, Ayacucho, Perú"
556,POINT (-74.2951444 39.8726184),"Lacey Township, Ocean County, New Jersey, United States"
557,POINT EMPTY,
558,POINT EMPTY,
559,POINT EMPTY,
560,POINT (26.819291891109838 37.72461615),"Σάμος, Περιφερειακή Ενότητα Σάμου, Περιφέρεια Βόρειου Αιγαίου, Αποκεντρωμένη Διοίκηση Αιγαίου, Ελλάς"
561,POINT EMPTY,
562,POINT EMPTY,
563,POINT (-89.0367166 31.0254635),"Janice, Perry County, Mississippi, United States"
564,POINT (100.5112057 13.7397107),"Shanghai Mansion Bangkok, 479-481, ถนนเยาวราช, เยาวราช, แขวงสัมพันธวงศ์, เขตสัมพันธวงศ์, กรุงเทพมหานคร, 10100, ประเทศไทย"
565,POINT (75.0246402 35.6320626),"PTDC Motel Istak, PTDC Motel Istak near Istak Nala, گلگت - سکردو شاہراہ, Istak, گلگت بلتستان, پاکستان"
566,POINT EMPTY,
567,POINT (-82.4020038 23.1305703),"Cuba Skate Near Here, 1012, Apto 8, Calle 15, Barrio El Fanguito, El Vedado, Plaza de la Revolución, La Habana, 10400, Cuba"
568,POINT (9.564217599926552 56.4788848),"HVDC Skagerrak pole 4, Hobro Landevej, Viborg Kommune, Region Midtjylland, Danmark"
569,POINT (-88.6352595 36.7413624),"Mayfield, Graves County, Kentucky, 42066, United States"
570,POINT EMPTY,
571,POINT EMPTY,
572,POINT EMPTY,
573,POINT EMPTY,
574,POINT EMPTY,
575,POINT (-128.599548 54.5172715),"Terrace, Regional District of Kitimat-Stikine, British Columbia, Canada"
576,POINT (-112.14520362936864 35.9525161),"Grand Canyon National Park Airport, Forest Service Rd 306J, Tusayan, Arizona, 86023, United States"
577,POINT (35.7657 45.3828),"Семёновка, Мысовское сельское поселение, Ленинский район, Автономна Республіка Крим, 298213, Україна"
578,POINT (-81.0164111 43.4935991),"Perth County, Ontario, Canada"
579,POINT EMPTY,
580,POINT EMPTY,
581,POINT (77.50447206880165 28.6811848),"Inmantec Institutions, Adhyatmik Nagar, near dasna railway corssing, NH-24, Ghaziabad, Delhi - Meerut Expressway, Ghaziabad, Ghaziabad District, Uttar Pradesh, 201009, India"
582,POINT EMPTY,
583,POINT EMPTY,
584,POINT (11.717918419933387 44.272907399999994),"Mini autodromo Il Pozzo Off-Road, Via Senio, Poggiolino, Riolo Terme, Unione della Romagna Faentina, Ravenna, Emilia-Romagna, 48025, Italia"
585,POINT EMPTY,
586,POINT EMPTY,
587,POINT (102.52508604705358 -3.7109609),"Jalaludin, 32, Rindu Hati, Bengkulu, Indonesia"
588,POINT EMPTY,
589,POINT EMPTY,
590,POINT EMPTY,
591,POINT (-67.6061824 -54.935761),"Puerto Williams, Cabo de Hornos, Provincia de la Antártica Chilena, Región de Magallanes y de la Antártica Chilena, Chile"
592,POINT (22.9001014 -11.8921052),"Cazombo, Moxico, Angola"
593,POINT EMPTY,
594,POINT (-69.4842128 10.2274108),"La Puerta, Parroquia Aguedo Felipe Alvarado, Municipio Iribarren, Lara, Venezuela"
595,POINT (-117.1627728 32.7174202),"San Diego, San Diego County, California, United States"
596,POINT (16.9364293 -9.535332),"Malanje, Angola"
597,POINT (48.61357487036152 28.0761026),"رأس المشب, 611, الخفجي, محافظة الخفجي, المنطقة الشرقية, السعودية"
598,POINT (-116.2225685 33.1860145),"The Drop-Off, San Diego County, California, United States"
599,POINT (64 42),"Navoiy Viloyati, Oʻzbekiston"
600,POINT (-77.6952703 39.8573144),"Marion, Guilford Township, Franklin County, Pennsylvania, 17235, United States"
601,POINT (-126.88752868329605 56.9289758),"Thutade Lake, Area B (Finlay Valley/Beatton Valley), Peace River Regional District, British Columbia, Canada"
602,POINT (-81.4914894 31.1499528),"Brunswick, Glynn County, Georgia, United States"
603,POINT EMPTY,
604,POINT (120.29488558399481 -1.9758004),"Sulawesi, Indonesia"
605,POINT EMPTY,
606,POINT EMPTY,
607,POINT EMPTY,
608,POINT EMPTY,
609,POINT (-88.9660592 14.4249905),"Las Mesitas, San Francisco del Valle, Ocotepeque, Honduras"
610,POINT (-80.52662 28.45077),"Cape Canaveral, Brevard County, Florida, United States"
611,POINT (-75.8294928 20.0214637),"Santiago de Cuba, Cuba"
612,POINT EMPTY,
613,POINT EMPTY,
614,POINT EMPTY,
615,POINT EMPTY,
616,POINT EMPTY,
617,POINT (-0.0796862 51.5833084),"Tarbert Mews, Seven Sisters, West Green, London Borough of Haringey, London, Greater London, England, N15 5AB, United Kingdom"
618,POINT (-90.5185188 14.6222328),"Ciudad de Guatemala, Departamento de Guatemala, Guatemala"
619,POINT (-93.115959 16.753801),"Tuxtla Gutiérrez, Chiapas, 29019, México"
620,POINT EMPTY,
621,POINT EMPTY,
622,POINT EMPTY,
623,POINT (-1.25 51.833333),"Oxfordshire, England, United Kingdom"
624,POINT EMPTY,
625,POINT EMPTY,
626,POINT EMPTY,
627,POINT EMPTY,
628,POINT (-88.5445447 42.6727927),"Elkhorn, Walworth County, Wisconsin, United States"
629,POINT EMPTY,
630,POINT (-158.7254198 64.3276089),"Kaltag, Unorganized Borough, Alaska, 99748, United States"
631,POINT EMPTY,
632,POINT (60.802790165728474 56.74457635),"Кольцово, Арамильский тракт, Октябрьский район, Екатеринбург, городской округ Екатеринбург, Свердловская область, Уральский федеральный округ, 620910, Россия"
633,POINT EMPTY,
634,POINT EMPTY,
635,POINT (-76.61515136556432 39.1595439),"Glen Burnie, Anne Arundel County, Maryland, United States"
636,POINT (13.4156218 52.4738592),"Die Geschichte der Luftbrücke, TWY EAST II, Schillerkiez, Neukölln, Berlin, 12049, Deutschland"
637,POINT (-107.5981123 37.2255593),"Bayfield, La Plata County, Colorado, United States"
638,POINT (137.020782 50.550877),"Комсомольск-на-Амуре, городской округ Комсомольск-на-Амуре, Хабаровский край, Дальневосточный федеральный округ, Россия"
639,POINT EMPTY,
640,POINT EMPTY,
641,POINT EMPTY,
642,POINT EMPTY,
643,POINT (124.2762167 8.3045973),"Housing Near Kalubihon Falls, Iligan, Northern Mindanao, 9025, Philippines"
644,POINT EMPTY,
645,POINT (-91.3835185 29.3868408),"Eugene Island, St. Mary Parish, Louisiana, United States"
646,POINT (-114.799234 32.4247778),"Avenida Bolivia B, San Luis Río Colorado, Sonora, 83400, México"
647,POINT EMPTY,
648,POINT EMPTY,
649,POINT (121.49089601107625 22.6562977),"綠島, 綠島鄉, 臺東縣, 臺灣"
650,POINT (-84.7997613 34.1652304),"Cartersville, Bartow County, Georgia, 30120, United States"
651,POINT EMPTY,
652,POINT (-81.1308434 8.559559),Panamá
653,POINT EMPTY,
654,POINT (-78.7812081 35.7882893),"Cary, Wake County, North Carolina, United States"
655,POINT EMPTY,
656,POINT EMPTY,
657,POINT EMPTY,
658,POINT EMPTY,
659,POINT EMPTY,
660,POINT EMPTY,
661,POINT EMPTY,
662,POINT (9.2798232 45.8915225),"sentiero Piana di Crezzo -> Monte Megna, Lasnigo, Como, Lombardia, 22039, Italia"
663,POINT EMPTY,
664,POINT (-73.3667919 8.4806394),"El Poleo, Convención, Occidente, Norte de Santander, Colombia"
665,POINT (68.7563528 36.8707187),"ولایت کندز, افغانستان"
666,POINT (102.8314519 36.6075637),"长城, G341;S301, 赛拉隆乡, 永登县, 兰州市, 甘肃省, 中国"
667,POINT (41.5 30.916667),"محافظة عرعر, منطقة الحدود الشمالية, 73241, السعودية"
668,POINT EMPTY,
669,POINT EMPTY,
670,POINT EMPTY,
671,POINT EMPTY,
672,POINT EMPTY,
673,POINT (79.6418363 43.0955427),"Near river tax free 2 cars, КВ-38, Райымбекский район - Райымбек ауданы, Алматы облысы, Қазақстан"
674,POINT EMPTY,
675,POINT EMPTY,
676,POINT (98.6746643222748 3.5631032),"Medan Polonia, Kota Medan, Sumatera Utara, Indonesia"
677,POINT (-77.9447107 34.2257282),"Wilmington, New Hanover County, North Carolina, United States"
678,POINT (-90.1925284 51.4648142),"Pickle Lake, Pickle Lake Township, Kenora District, Northwestern Ontario, Ontario, P0V 3A0, Canada"
679,POINT EMPTY,
680,POINT (137.6404363 -3.9746136),"Ilaga, Puncak, Papua Tengah, Indonesia"
681,POINT (69.8912294 33.4014634),"خوست ولايت, افغانستان"
682,POINT EMPTY,
683,POINT EMPTY,
684,POINT (96.8269218 20.7187712),"ဟဲဟိုး, ကလော, တောင်ကြီးခရိုင, ရှမ်းပြည်နယ်တောင်ပိုင်း, ရှမ်းပြည်နယ် Shan State, မြန်မာ"
685,POINT EMPTY,
686,POINT (6.1466014 46.2017559),"Genève, Schweiz/Suisse/Svizzera/Svizra"
687,POINT (-68.9272181 -22.4623917),"Calama, Provincia de El Loa, Región de Antofagasta, 1395584, Chile"
688,POINT EMPTY,
689,POINT EMPTY,
690,POINT EMPTY,
691,POINT EMPTY,
692,POINT EMPTY,
693,POINT (-1.1847653085946246 52.68491375),"Leicestershire, England, United Kingdom"
694,POINT EMPTY,
695,POINT (96.1609916 16.7967129),"Yangon, ရန်ကုန်တိုင်းဒေသကြီး, မြန်မာ"
696,POINT (-25.10264949987561 36.97262155),"Ilha de Santa Maria, Almagreira, Vila do Porto, Açores, Portugal"
697,POINT (101.6824948 3.1134258),"Room for Rent near Mid Valey, Jalan Tanjung 12, Seputeh, Kuala Lumpur, 50614, Malaysia"
698,POINT EMPTY,
699,POINT (-92.835846 49.785698),"Dryden, Kenora District, Northwestern Ontario, Ontario, Canada"
700,POINT (-86.9080655 40.4258686),"West Lafayette, Tippecanoe County, Indiana, United States"
701,POINT EMPTY,
702,POINT (129.3429384 36.0189315),"포항시, 경상북도, 대한민국"
703,POINT (-46.5243855 -23.4428948),"Guarulhos, Região Imediata de São Paulo, Região Metropolitana de São Paulo, Região Geográfica Intermediária de São Paulo, São Paulo, Região Sudeste, Brasil"
704,POINT (5.1844674 44.9185137),"Col de Tourniol, Léoncel, Die, Drôme, Auvergne-Rhône-Alpes, France métropolitaine, 26190, France"
705,POINT EMPTY,
706,POINT (-74.7911478441537 10.99773435),"Baranquilla Cuidad Educadora, Calle 58, Localidad Norte - Centro Histórico, Perímetro Urbano Barranquilla, Barranquilla, Atlántico, 080003, Colombia"
707,POINT (16.4443478 57.2632811),"Oskarshamn, Oskarshamns kommun, Kalmar län, 572 24, Sverige"
708,POINT EMPTY,
709,POINT EMPTY,
710,POINT (-73.98777540219524 4.669280049999999),"Vereda El Salitre, La Calera, Guavio, Cundinamarca, Colombia"
711,POINT (61.4948211 31.0277779),"زابل, دهستان بنجار, شهر زابل, شهرستان زابل, استان سیستان و بلوچستان, ایران"
712,POINT EMPTY,
713,POINT (120.3120375 22.6203348),"高雄市, 臺灣"
714,POINT (11.5213344 3.8689867),"Communauté urbaine de Yaoundé, Mfoundi, Centre, Cameroun"
715,POINT EMPTY,
716,POINT (-3.355237 55.1218578),"Lockerbie, Dumfries and Galloway, Alba / Scotland, DG11 2EU, United Kingdom"
717,POINT EMPTY,
718,POINT EMPTY,
719,POINT (-11.5810134 25.2311431),"بئر أم قرين, تيرس زمور, موريتانيا"
720,POINT (-82.8110971 9.7364685),"Puerto Vargas, Cahuita, Cantón Talamanca, Provincia Limón, 70403, Costa Rica"
721,POINT (-55.949711812781445 -27.4035083),"Posadas, Municipio de Posadas, Departamento Capital, Misiones, Argentina"
722,POINT EMPTY,
723,POINT (7.4164754 47.7286566),"Habsheim, Mulhouse, Haut-Rhin, Grand Est, France métropolitaine, 68440, France"
724,POINT EMPTY,
725,POINT (-90.2600787 29.3791112),"Golden Meadow, Lafourche Parish, Louisiana, United States"
726,POINT (34.81674099649899 46.1861683),"Парк Афганської слави, Мікрорайон, Генічеськ, Генічеська міська громада, Генічеський район, Херсонська область, Україна"
727,POINT (71.6638747 29.394644),"بہاولپور, Bahawalpur Tehsil, پنجاب, 63100, پاکستان"
728,POINT (-107.5991106 25.6046501),"Cerro de la Calera, Mocorito, Sinaloa, México"
729,POINT (-76.75759126974856 0.12662655),"Lago Agrio, Sucumbíos, Ecuador"
730,POINT (37.3882251 11.5949663),"Bahir Dar Special Zone, አማራ ክልል / Amhara, ኢትዮጵያ"
731,POINT EMPTY,
732,POINT (-42.1031604 -22.8384835),"São Pedro da Aldeia, Região Geográfica Imediata de Cabo Frio, Região Geográfica Intermediária de Macaé-Rio das Ostras-Cabo Frio, Rio de Janeiro, Região Sudeste, 28941-408, Brasil"
733,POINT EMPTY,
734,POINT (111.512998 36.0885338),"临汾市, 解放路街道, 尧都区, 临汾市, 山西省, 041000, 中国"
735,POINT EMPTY,
736,POINT (72.542511078472 23.16040095),"Shantigram, Daskroi Taluka, Ahmedabad District, Gujarat, 382421, India"
737,POINT (-70.1356177 -15.4932314),"Juliaca, San Román, Puno, Perú"
738,POINT EMPTY,
739,POINT (22.5797719 62.731342),"Ilmajoki, Seinäjoen seutukunta, Etelä-Pohjanmaa, Länsi- ja Sisä-Suomen aluehallintovirasto, Manner-Suomi, Suomi / Finland"
740,POINT (2.6073963 46.3400296),"Montluçon, Allier, Auvergne-Rhône-Alpes, France métropolitaine, 03100, France"
741,POINT EMPTY,
742,POINT (99.182915 58.596329),"Кодинск, Красноярский край, Сибирский федеральный округ, 663491, Россия"
743,POINT EMPTY,
744,POINT (-77.071978 38.8937116),"North Fort Myer Drive, Rosslyn, Arlington, Arlington County, Virginia, 22209, United States"
745,POINT (-74.08782446753511 39.83459155),"Island Beach, Berkeley Township, Ocean County, New Jersey, United States"
746,POINT (-119.275205 46.2804298),"Richland, Benton County, Washington, United States"
747,POINT (-90.7341957 14.5451989),"Caoba Farms Garden, 6, Calle del Reformador, Santa Isabel, El Calvario, Antigua Guatemala, Sacatepéquez, 01101, Guatemala"
748,POINT EMPTY,
749,POINT EMPTY,
750,POINT (-0.0978551922452396 51.840052299999996),"Hertfordshire, England, United Kingdom"
751,POINT (-105.5017521 39.9170921),"Rollinsville, Gilpin County, Colorado, 80466, United States"
752,POINT EMPTY,
753,POINT (123.97229133429869 10.288094300000001),"Mactan, Cordova, Cebu, Central Visayas, Philippines"
754,POINT EMPTY,
755,POINT EMPTY,
756,POINT (-52.6166878 -27.0922364),"Distrito Sede de Chapecó, Chapecó, Região Geográfica Imediata de Chapecó, Região Geográfica Intermediária de Chapecó, Santa Catarina, Região Sul, Brasil"
757,POINT EMPTY,
758,POINT (24.1519202 45.7973912),"Sibiu, România"
759,POINT (-72.2061332 41.7195577),"Bolivia Street, Prospect Hill Historic District, Willimantic, Windham, Southeastern Connecticut COG, Connecticut, 06226, United States"
760,POINT (-155.87086493671606 59.3176195),"Igiugig, Lake and Peninsula, Alaska, United States"
761,POINT EMPTY,
762,POINT (-69.832275 -38.3695057),"Neuquén, Argentina"
763,POINT EMPTY,
764,POINT EMPTY,
765,POINT EMPTY,
766,POINT EMPTY,
767,POINT EMPTY,
768,POINT (116.0939455 5.9669203),"Emergency Drop-off Point, Jalan Bersatu, Taman Damai, Damai, Kota Kinabalu District, Sabah, 88902, Malaysia"
769,POINT (32.4698564 0.0611715),"Entebbe City, Central Region, Uganda"
770,POINT EMPTY,
771,POINT EMPTY,
772,POINT EMPTY,
773,POINT EMPTY,
774,POINT EMPTY,
775,POINT EMPTY,
776,POINT (145.75154952736838 -16.877789200000002),"Cairns Airport, Caudron Avenue, Aeroglen, Cairns, Cairns Regional, Queensland, 4870, Australia"
777,POINT EMPTY,
778,POINT (64.4231326 39.7675529),"Buxoro, Buxoro Viloyati, 200100, Oʻzbekiston"
779,POINT (-63.1888854 9.7422774),"Maturín, Parroquia San Simón, Municipio Maturín, Monagas, Venezuela"
780,POINT (-89.61701648617823 17.22081485),"Tikal, Tikal Road, Flores, Petén, Guatemala"
781,POINT EMPTY,
782,POINT (-118.030839 33.9708782),"Whittier, Los Angeles County, California, United States"
783,POINT EMPTY,
784,POINT (104.047364 20.4151514),"ຊຳເໜືອ, ຫົວພັນ, 07000, ປະເທດລາວ"
785,POINT (-69.942111 18.4801972),"Santo Domingo de Guzmán, Distrito Nacional, República Dominicana"
786,POINT (24.1521731256341 35.48864435),"Σούδα, Δήμος Χανίων, Περιφερειακή Ενότητα Χανίων, Περιφέρεια Κρήτης, Αποκεντρωμένη Διοίκηση Κρήτης, Ελλάς"
787,POINT EMPTY,
788,POINT EMPTY,
789,POINT (24.8516253 13.0161778),"Singa, Al Fasher, ولاية شمال دارفور, السودان"
790,POINT EMPTY,
791,POINT (31.2757862 58.5209862),"городской округ Великий Новгород, Новгородская область, Северо-Западный федеральный округ, Россия"
792,POINT (-122.3178152 47.5997653),"Vietnam House, 1038, South Jackson Street, Little Saigon, Yesler Terrace, Seattle, King County, Washington, 98104, United States"
793,POINT EMPTY,
794,POINT (-48.90097571327661 -26.28294615),"Ponte Pedro Bento da Rocha, Rua Alfonso Hochstein, Vila Nova, Joinville, Região Geográfica Imediata de Joinville, Região Geográfica Intermediária de Joinville, Santa Catarina, Região Sul, 89237-200, Brasil"
795,POINT EMPTY,
796,POINT EMPTY,
797,POINT EMPTY,
798,POINT (113.590469 54.443378),"Багдарин, Багдаринское сельское поселение, Баунтовский эвенкийский район, Бурятия, Дальневосточный федеральный округ, Россия"
799,POINT EMPTY,
800,POINT EMPTY,
801,POINT EMPTY,
802,POINT (37.3776192 11.6099428),"Fish restaurant bahirdar near lake bahirdar, St.Michael, Bahir Dar Special Zone, West Gojjam, አማራ ክልል / Amhara, 6000, ኢትዮጵያ"
803,POINT (35.48464639072581 33.90026325),"Bureau d'Inscription, شارع 60, الجامعة الأمريكية, الجامعة, دار المريسة, محافظة بيروت, 1103, لبنان"
804,POINT (106.701938 10.7764772),"Thành phố Hồ Chí Minh, Việt Nam"
805,POINT EMPTY,
806,POINT (-134.7530556 58.1258333),"Hawk Inlet, Juneau, Alaska, United States"
807,POINT (-92.61551841991157 16.6835469),"San Cristóbal de las Casas, Chiapas, México"
808,POINT (115.4158334 56.6015917),"Витим, Дальневосточный федеральный округ, Россия"
809,POINT (36.8478779 7.6756152),"ጂማ / Jimma, Jimma, ኦሮሚያ ክልል / Oromia, ኢትዮጵያ"
810,POINT EMPTY,
811,POINT EMPTY,
812,POINT (-118.5016166 34.1591324),"Encino, Los Angeles, Los Angeles County, California, 91436, United States"
813,POINT (-155.9966428 19.6472213),"Kona Bikeworks, Eho Street, Kailua-Kona, Hawaiʻi County, Hawaii, 96840, United States"
814,POINT (114.125862700406 22.52854795),"上落客點  PICK-UP/DROP-OFF POINT, 沙嶺 Sha Ling, 羅湖村 Lo Wu Village, 北區 North District, 新界 New Territories, 香港 Hong Kong, 中国"
815,POINT (-153.091521 60.0321758),"Mount Iliamna, Kenai Peninsula, Alaska, United States"
816,POINT EMPTY,
817,POINT (101.6942371 3.1516964),"Kuala Lumpur, Malaysia"
818,POINT EMPTY,
819,POINT (121.13448510643856 12.86924),"Mindoro, Occidental Mindoro, Mimaropa, Philippines"
820,POINT EMPTY,
821,POINT EMPTY,
822,POINT EMPTY,
823,POINT EMPTY,
824,POINT EMPTY,
825,POINT EMPTY,
826,POINT EMPTY,
827,POINT EMPTY,
828,POINT (-13.6704952 28.9209147),"Hierro, Tías, Las Palmas, Canarias, 35510, España"
829,POINT (-87.5558483 37.9747645),"Evansville, Vanderburgh County, Indiana, United States"
830,POINT EMPTY,
831,POINT EMPTY,
832,POINT EMPTY,
833,POINT (-69.866161 -6.6567654),"Eirunepé, Região Geográfica Imediata de Eirunepé, Região Geográfica Intermediária de Tefé, Amazonas, Região Norte, 69880-000, Brasil"
834,POINT EMPTY,
835,POINT EMPTY,
836,POINT (-27.1031772 38.7669312),"Lajes, Praia da Vitória, Açores, Portugal"
837,POINT (17.8540246 59.3834721),"Kälvesta, Hässelby-Vällingby stadsdelsområde, Stockholms kommun, Stockholms län, 162 47, Sverige"
838,POINT EMPTY,
839,POINT EMPTY,
840,POINT EMPTY,
841,POINT EMPTY,
842,POINT (21.7883119 40.3007259),"Κοζάνη, Δήμος Κοζάνης, Περιφερειακή Ενότητα Κοζάνης, Περιφέρεια Δυτικής Μακεδονίας, Αποκεντρωμένη Διοίκηση Ηπείρου - Δυτικής Μακεδονίας, 501 00, Ελλάς"
843,POINT (-74.8012119 39.1765386),"Cape May County, New Jersey, United States"
844,POINT (105.7460255 56.7810026),"Усть-Кут, Усть-Кутское городское поселение, Усть-Кутский район, Иркутская область, Сибирский федеральный округ, Россия"
845,POINT (30.5156729 50.4507554),"Служба безпеки України, 33, Володимирська вулиця, Го́род Володимира, Старий Київ, Центр, Шевченківський район, Київ, 01034, Україна"
846,POINT EMPTY,
847,POINT EMPTY,
848,POINT EMPTY,
849,POINT (-128.599548 54.5172715),"Terrace, Regional District of Kitimat-Stikine, British Columbia, Canada"
850,POINT (43.134969 44.2107377),"Минеральные Воды, Минераловодский городской округ, Ставропольский край, Северо-Кавказский федеральный округ, Россия"
851,POINT (-57.986808338166256 -31.439990350000002),"Aeropuerto Internacional de Salto ""Nueva Hespérides"", Avenida Mario Apaulazza, Villa Maguey, Salto, Uruguay"
852,POINT EMPTY,
853,POINT EMPTY,
854,POINT (2.109823 13.524834),"Niamey, Niger"
855,POINT EMPTY,
856,POINT EMPTY,
857,POINT (-83.9162929 33.9231621),"New Hope, Gwinnett County, Georgia, United States"
858,POINT EMPTY,
859,POINT EMPTY,
860,POINT EMPTY,
861,POINT EMPTY,
862,POINT EMPTY,
863,POINT (-35.2080905 -5.805398),"Natal, Região Geográfica Imediata de Natal, Região Geográfica Intermediária de Natal, Rio Grande do Norte, Região Nordeste, Brasil"
864,POINT EMPTY,
865,POINT EMPTY,
866,POINT EMPTY,
867,POINT EMPTY,
868,POINT (-87.75084869357148 41.7854316),"Chicago Midway International Airport, 5700, South Cicero Avenue, Clearing, Chicago, Lake Township, Cook County, Illinois, 60638, United States"
869,POINT EMPTY,
870,POINT (10.4450346 59.8545801),"Skaugum, Asker, Viken, 1384, Norge"
871,POINT (-80.88026316596292 25.3870275),"Everglades National Park, Florida, 34138, United States"
872,POINT EMPTY,
873,POINT EMPTY,
874,POINT EMPTY,
875,POINT (-91.20677 29.6993748),"Morgan City, St. Mary Parish, Louisiana, 70380, United States"
876,POINT (-82.4456064 8.8265094),"Cerro Horqueta, Los Naranjos, Distrito Boquete, Chiriquí, 0413, Panamá"
877,POINT EMPTY,
878,POINT (80.2491787 50.4049863),"Городская администрация Семей - Семей қала әкімшілігі, Абай облысы, Қазақстан"
879,POINT EMPTY,
880,POINT EMPTY,
881,POINT (-16.621447121144122 28.2935785),"Tenerife, Canarias, España"
882,POINT EMPTY,
883,POINT (67.25 34.75),"ولایت بامیان, افغانستان"
884,POINT EMPTY,
885,POINT EMPTY,
886,POINT (105.7973275083619 11.1942275),"ខេត្តស្វាយរៀង, ព្រះរាជាណាចក្រ​កម្ពុជា"
887,POINT EMPTY,
888,POINT (-44.2963942 -2.5295265),"São Luís, Região Geográfica Imediata de São Luís, Região Geográfica Intermediária de São Luís, Maranhão, Região Nordeste, Brasil"
889,POINT (2.4733628 49.0323168),"Goussainville, Sarcelles, Val-d'Oise, Île-de-France, France métropolitaine, 95190, France"
890,POINT EMPTY,
891,POINT EMPTY,
892,POINT EMPTY,
893,POINT (2.35572229362018 48.748477050000005),"Hilton Garden Inn Paris Orly Airport, 4, Place des États-Unis, Parc ICADE Paris Orly-Rungis, Rungis, Arrondissement de L'Haÿ-les-Roses, Val-de-Marne, Île-de-France, France métropolitaine, 94150, France"
894,POINT (73.0487505 33.5992665),"Near City Centre Rawalpindi, تھانہ روڈ, کامران چوک, صدر, راولپنڈی چھاؤنی, ضلع راولپنڈی, پنجاب, 23451, پاکستان"
895,POINT (-87.1541675 36.8100425),"Elkton, Todd County, Kentucky, United States"
896,POINT (-157.855676 21.304547),"Honolulu, Honolulu County, Hawaii, United States"
897,POINT (-64.9044936 -14.8349438),"Trinidad, Provincia de Cercado, Beni, Bolivia"
898,POINT EMPTY,
899,POINT EMPTY,
900,POINT (-66.613958 18.011564),"Ponce, Puerto Rico, United States"
901,POINT (-88.4069744 44.2613967),"Appleton, Outagamie County, Wisconsin, United States"
902,POINT EMPTY,
903,POINT EMPTY,
904,POINT (19.804583209489714 39.65099635),"ΧΥΤΑ ΚΕΡΚΥΡΑΣ, Τεμπλόνι, Δήμος Κεντρικής Κέρκυρας και Διαποντίων Νήσων, Περιφερειακή Ενότητα Κέρκυρας, Περιφέρεια Ιονίων Νήσων, Αποκεντρωμένη Διοίκηση Πελοποννήσου, Δυτικής Ελλάδας και Ιονίου, 491 00, Ελλάς"
905,POINT EMPTY,
906,POINT EMPTY,
907,POINT (-63.1794655 10.6268452),"Canaima, Parroquia Santa Rosa, Municipio Bermúdez, Sucre, Venezuela"
908,POINT EMPTY,
909,POINT EMPTY,
910,POINT (37.466766 12.610368),"ጎንደር / Gonder, ሰሜን ጎንደር, አማራ ክልል / Amhara, 6200, ኢትዮጵያ"
911,POINT EMPTY,
912,POINT EMPTY,
913,POINT EMPTY,
914,POINT EMPTY,
915,POINT (104.132637 10.6314754),"ខេត្តកំពត, ព្រះរាជាណាចក្រ​កម្ពុជា"
916,POINT EMPTY,
917,POINT EMPTY,
918,POINT EMPTY,
919,POINT (23.7274025 37.9754605),"Off White, Αιόλου, Μοναστηράκι, 1η Κοινότητα Αθηνών, Αθήνα, Δήμος Αθηναίων, Περιφερειακή Ενότητα Κεντρικού Τομέα Αθηνών, Περιφέρεια Αττικής, Αποκεντρωμένη Διοίκηση Αττικής, 105 56, Ελλάς"
920,POINT (169.33450144830016 -19.48577845),"Tanna, Tafea, Vanuatu"
921,POINT EMPTY,
922,POINT (16.254774 40.917126),"Poggiorsini, Bari, Puglia, Italia"
923,POINT EMPTY,
924,POINT EMPTY,
925,POINT (-71.01364006269452 42.36317665),"Logan International Airport, 1, Harborside Drive, East Boston, Boston, Suffolk County, Massachusetts, 02128, United States"
926,POINT EMPTY,
927,POINT EMPTY,
928,POINT (-118.39524 37.363679),"Bishop, Inyo County, California, United States"
929,POINT (27.502515 -21.16636),"Francistown, North-East District, Botswana"
930,POINT (115.12612131262217 -8.5424459),"banjar grogak tengah, desa delod peken, Tabanan, Bali, Indonesia"
931,POINT (-94.9175485 29.396013),"Texas City, Galveston County, United States"
932,POINT (-78.26252853850661 -1.33191575),"Baños, Tungurahua, Ecuador"
933,POINT (-89.6439575 39.7990175),"Springfield, Sangamon County, Illinois, United States"
934,POINT (-92.0868012 62.8030269),"ᑲᖏᕿᓂᖅ Rankin Inlet, ᑭᕙᓪᓕᖅ Kivalliq Region, ᓄᓇᕗᑦ Nunavut, Canada"
935,POINT (-73.8953734 5.567498),"Boca de Monte - San Isidro - Mal paso - El Boquerón - El Esterillal, Caldas, Occidente, Boyacá, RAP (Especial) Central, 154660, Colombia"
936,POINT EMPTY,
937,POINT (-152.1441667 69.3669444),"Umiat, North Slope, Alaska, United States"
938,POINT EMPTY,
939,POINT EMPTY,
940,POINT (-76.5324943 3.4517923),"Perímetro Urbano Santiago de Cali, Cali, Sur, Valle del Cauca, RAP Pacífico, Colombia"
941,POINT (-65.3564919 -15.4100326),"San Francisco, Canton San Francisco, San Ignacio de Moxos, Moxos, Beni, Bolivia"
942,POINT (-63.90739842745219 11.0205596),"Isla de Margarita, Municipio Díaz, Nueva Esparta, Venezuela"
943,POINT EMPTY,
944,POINT EMPTY,
945,POINT EMPTY,
946,POINT (-80.88379501931058 35.17816175),"Days Inn Woodlawn Road Near Carowinds, 118, East Woodlawn Road, York Road, Charlotte, Mecklenburg County, North Carolina, 28217, United States"
947,POINT EMPTY,
948,POINT (121.179543 13.4145513),"Calapan, Oriental Mindoro, Mimaropa, 5200, Philippines"
949,POINT EMPTY,
